index,Job Title,Salary Estimate,Company Name,Description,Location
98,Data Scientist,,Integra Connect solutions3.3 ★,"Precision Oncology
Remote
Full Time
Job Description:
The Data Scientist will be a key member of the Data Science and AI team within the precision oncology organization. The Data Science and AI team is responsible for developing innovative analytical solutions and products that benefit the entire enterprise. The team generates insights for providers, payers, pharma, and biotech by leveraging the available healthcare data from electronic medical records, healthcare claims, pharmacy claims, and genomics data for oncology, urology, and other patients via the Integra precision oncology platform. Utilizing analytical, statistical, and programming skills to collect, analyze, and interpret large data sets, the Data Scientist will extract meaningful information from all patient data from our rapidly growing network of healthcare practices. The solutions created by the Data Scientist will positively impact patient outcomes while reducing the cost of healthcare.
Show more
Report",Remote
99,Data Scientist,,CORMAC3.5 ★,"CORMAC is transforming the Healthcare industry using Data and Analytics. CORMAC is looking for an enthusiastic and innovative candidate to join our Data Science team. A qualified candidate should be able to provide Data Science support for our products, prototypes and projects.
Responsibilities:
Implement machine learning and deep learning algorithms, employing a wide array of ensemble methods and common deep learning architectures
Design and develop a machine learning platform to train, manage data, evaluate, deploy models and to make and monitor predictions
Maintain and update elements of the AI and machine learning code base
Show more
Report",United States
100,Data Scientist,,CloudXsparks Technologies,"Are you seeking a contract or permanent assignment with CloudXsparks Technologies, Inc.? You have the opportunity to extend your career pathway. Our recruiting teams are holding techno-functional experience in the Information technology industry and they are well-versed in interviewing candidates with respect to their interpersonal skills. They are here to assist you more than ever. We are always looking for and interested to hear from talented individuals who can make a difference and complement our existing teams of professionals. Please email your resume to our team of recruiters. Our careers email: hr@cloudxsparks.com
Data Scientist
Skillset We Looking for : • Knowledge of statistical programming languages like R, Python, and database query languages like SQL, Hive, Pig. • Good statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators, etc. • Good knowledge of machine learning methods like k-Nearest Neighbors, Naive Bayes, SVM, Decision Forests. • understanding the fundamentals of Multivariable Calculus and Linear Algebra is important as they form the basis of a lot of predictive performance or algorithm optimization techniques. • Proficiency in handling imperfections in data is an important aspect of a data scientist job description. • Experience with Data Visualization Tools like Tableau etc.
Report","Lebanon, OH"
101,Data Analyst,"$66,041",Argot Partners,"We are currently seeking a highly skilled and motivated Data Analyst to join our team at Argot Partners. This position is exclusively available for applicants located in the United States.

As a Data Analyst, you will play a key role in analyzing and interpreting complex datasets to identify valuable insights, trends, and patterns. Your responsibilities will include collecting and organizing data from various sources, developing and maintaining databases, and conducting statistical analyses. Additionally, you will collaborate with cross-functional teams to understand business objectives and provide data-driven recommendations and solutions.

To be successful in this role, you must have a solid understanding of statistical analysis, data mining, and data visualization techniques. Proficiency in SQL, Python, or R is essential, as you will be working with large datasets and using advanced analytics tools. Strong analytical thinking, problem-solving skills, and attention to detail are critical for this position.

Other key qualifications for this role include excellent communication skills, both written and verbal, as you will be required to present your findings to both technical and non-technical stakeholders. A bachelor's degree in a quantitative field, such as Mathematics, Statistics, or Computer Science, is required, and prior experience as a Data Analyst is preferred.

If you are a motivated and detail-oriented professional, eager to contribute to our team's success, please submit your application, including your resume and a cover letter.
Show more
Report","Houston, TX"
102,Data Scientist,"$97,792",Cyber Infotech4.2 ★,"Build, implement and maintain predictive models through their full lifecycle.
Identify patterns & trends in data, and provides insights to enhance business decision making.
Identify challenges and opportunities from client strategy discussions and taking ownership of solution.
Set up and monitor monthly model recalibration process.
Generate complex ad-hoc analyses combining disparate concepts or creating new approaches.
Design and create new analytic procedures & automation.
Please forward your resume to contact@cyberinfotek.com
Show more
Report","Dallas, TX"
103,Data Scientist,"$155,000",Simpson Thacher & Bartlett LLP4.1 ★,"Description/Job Summary
Simpson Thacher's Data Scientist will play a key role in delivering insights to the Firm's leadership, legal practices, Knowledge Department and other administrative functions. To do so, this expert will use a mix of statistics, machine learning, deep learning and LLMs to derive meaning, build models and create systems that capitalize on both structured and unstructured data. This position will play a crucial role in pushing the Firm's artificial intelligence (AI) efforts forward, working on some of the most advanced projects in the legal industry.
The Data Scientist position sits within the Firm's Data Analytics Group, which is a part of the Firm's Knowledge Department. This position will work closely with lawyers and legal support professionals across practices, as well as other technical resources within the Firm. This role requires creative problem solving, analytical rigor, technical skill and an appreciation for the business and practice of law.

Show more
Report",United States
104,Data Scientist,,Axuall4.1 ★,"About Axuall
Built with leading healthcare systems, Axuall is a workforce intelligence company built on top of a national real-time practitioner data network. It enables healthcare systems, staffing firms, telehealth, and health plans to dramatically reduce onboarding and enrollment time while also providing unique, powerful data insights for network planning, analytics, and reporting. Its network streamlines the secure sharing of digitally verified credentials between clinicians, authorized verifiers, and organizations that require this information quickly and continuously to meet patient demand, ensure clinical coverage, and maximize revenue capture.
In 2023, Axuall closed its series B round of financing, bringing its total capital raised to more than $41 million. Axuall's investors and the organizations they represent comprise over two dozen of the nation's leading healthcare organizations that recognize the imperative to improve clinical workforce efficiency amidst significant economic and staffing challenges. Axuall intends to scale its team rapidly in 2023/2024 as it expands its customer base and develops new products that leverage its national network.
Show more
Report",Remote
105,Data Scientist,$67.50,TekValue IT Solutions,"Requirements and Skills
‍Legitimate experience as a Data Scientist or Data Analyst
Data mining expertise Knowledge of operations research and machine learning
R, SQL, and Python expertise is required; knowledge of Scala, Java, or C++ is advantageous.
knowledge of data frameworks and business intelligence tools, such as Tableau (e.g., Hadoop)
Mind for analysis and business sense
good math abilities (e.g., statistics, algebra, probability)
Capable of problem-solving
Strong presentation and communication abilities
An advanced degree in data science or another quantitative discipline is desired; a BSc or BA in computer science, engineering, or a related field is required.
Show more
Report",Remote
106,Data Scientist,,Fusion923.9 ★,"ABOUT US:
Fusion92 is building the future of marketing through an unparalleled, data-driven approach to solving our clients' toughest problems. We call ourselves a Marketing Transformation Partner for clients, as through a culture of curiosity, fearlessness, teamwork and leadership, we turn our expertise toward creating new paths forward where our services and technology together unlock unprecedented growth.
We’re an independent, national enterprise based in Chicago with hubs in Detroit, Austin and Denver. Fusion92 is committed to a diverse, equitable, inclusive workplace that drives a positive impact in our global community.
We are experts across every field and discipline in marketing.
Fusion92 is for those who are obsessed with curiosity and innovation. We unite data scientists, media buyers, copywriters, technologists, developers, consultants, coders, UX/UI specialists, designers, strategists, producers, operations pros and more to deliver real results and to give answers to the unanswerable.




Requirements:

Show more
Report",Remote
107,Data Scientist I,"$77,500",Trusaic4.1 ★,"Who we are: Trusaic is a regulatory compliance software company focused on creating better work environments, for everyone. Our mission is to help organizations create authentic change, whether that be by achieving pay equity, fostering a more diverse and inclusive workforce, increasing bottom lines, or offering more affordable healthcare.
Every day we wake up driven to make the working world a better place. If you’re interested in working in an environment where your individual contributions make a big impact, then Trusaic is the place for you.
Our culture: A culture fit is arguably one the most important aspects of a job opportunity. At Trusaic we pride ourselves in the people who make up our small, but growing team. We wear multiple hats and we help each other because the collective good of our company is made up by our individual efforts. We’re always looking to improve our processes and no workday is the same. We have a collaborative spirit, passionate hearts, and strong minds.
Show more
Report","Los Angeles, CA"
108,Data Scientist,"$112,078",Kyowa Kirin North America3.2 ★,"Kyowa Kirin is a fast growing global specialty pharmaceutical company that applies state-of-the-art biotechnologies to discover and deliver novel medicines in four areas of unmet need: oncology, nephrology, immunology and CNS/movement disorders. The North America organization includes two offices (in New Jersey and California) that focus on drug discovery, product development, and commercialization. Together, we work as a close-knit team to understand clinical needs and advance innovations that can have a profound impact on patient lives.
Summary of Job:
The Data Scientist will be responsible for applying advanced analytics and creating data-based insights for the Oncology, Rare Disease, and CNS business franchises in Kyowa Kirin North America. This role will report to the Senior Director, Business Insights and Analytics, and will be responsible for advancing data science and advanced analytics capabilities by leveraging best practices in data science, data mining, and advanced statistical modeling to drive a culture of data-driven decision-making. This role requires a unique combination of skillsets and strong business acumen along with the technical competence to gain the trust of internal stakeholders and to develop innovative solutions that address critical business needs.
Show more
Report","Princeton, NJ"
109,Data Image Labeler,"$36,665",Liberty Source2.7 ★,"Liberty Source PBC combines state-of-the-art technology with a human overlay, enabling our clients to realize greater returns from their investments in artificial intelligence, machine learning, business intelligence and deep analytics platforms. We work with our clients’ Data Science teams, Data Operations staff, Data Quality functions, and other key stakeholders to refine and enhance the data that is vital to the success of their advanced technology initiatives. We are Data Fitness experts.

Our specialized recruiting mission focuses on the talents of veterans and families of active-duty military personnel to fulfill our brand promise of 100% U.S.-based operations and staff.

Founded in 2014, Liberty Source PBC is based in Hampton, Virginia and is a Certified B Corporation.









Show more
Report","Hampton, VA"
110,Data Scientist,"$72,500",COGNIZE TECH SOLUTIONS2.0 ★,"Apply Statistical and Machine Learning methods to specific business problems and data.  Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.  Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics  Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.  Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time
Job Types: Part-time, Full-time
Show more
Report",Remote
111,Data scientist,"$130,000",Ntropy Network5.0 ★,"Over the last few decades, technological innovation has relied on democratizing some of its key ingredients: knowledge (open publishing platforms), algorithms (code repositories) and computing (cloud providers). However, the last key component, data, largely remains trapped behind barriers of regulation, privacy, schema standards and competitive risk. Enabling scalable access to data will unlock enormous value for both individual developers and companies. This has only been made possible in the last few years, through advances in manifold learning algorithms and privacy-preserving computing. See our blog for more details.

One of the most valuable kinds of data today is in the financial sector. Financial data plays a key role across many industry verticals. However, it has notoriously been locked behind regulatory barriers and a lack of format standards. Our end product is an API that makes financial transactions accessible to both humans and machine-learning models, in a scalable and privacy-preserving way.





























Show more
Report","New York, NY"
112,Data Scientist,,Pacaso4.3 ★,"About Pacaso:
Pacaso exists to enrich lives by making second home ownership possible and enjoyable for more people. Our innovative co-ownership model is the easiest, smartest and most responsible way for people to experience the joy of a second home. We provide all the benefits of true ownership without the hassles through our simplified financial structure, easy and equitable scheduling, and dedicated local property management.
Founded by former Zillow executives, Pacaso has secured more than $215 million in growth financing and is valued at $1.5 billion. In March 2021, Pacaso achieved unicorn status (a valuation of $1 billion) faster than any other company in the United States. We have been featured in The New York Times, Wall Street Journal, Fortune, Forbes, CNBC and more.
Pacaso is a certified Great Place to Work, is #6 on Glassdoor's 2022 list of Best Places to Work, is one of LinkedIn's top startups of 2022, and was ranked on Fortune's Top 100 Small and Medium Workplaces list 2021- 2023.

Show more
Report",Remote
113,Data Scientist,,Wiliot4.5 ★,"Wiliot was founded by the team that invented one of the technologies at the heart of 5G. Their next vision was to develop an IoT sticker, a computing element that can power itself by harvesting radio frequency energy, bringing connectivity and intelligence to everyday products and packaging, things previously disconnect from the IoT. This revolutionary mixture of cloud and semiconductor technology is being used by some of the world’s largest consumer, retail, food and pharmaceutical companies to change the way we make, distribute, sell, use and recycle products.
Our investors include Softbank, Amazon, Alibaba, Verizon, NTT DoCoMo, Qualcomm and PepsiCo.
We are looking for a data scientist with proven hands-on skills to join the team and build high-performing, scalable applications that turn time-series telemetry into data products. You will collaborate with great people from multiple disciplines to create innovative digital products and integrate them within the Sensing-as-a-Service cloud platform.

Requirements:



Responsibilities:


Show more
Report",Remote
114,Data Scientist,"$107,981",Fooda3.8 ★,"Who We Are:
We believe a workplace food program is something employees should love and look forward to every day. Powered by technology and a network of over 2,000 restaurants, Fooda feeds hungry people at work through our ongoing food programs located within companies and office buildings. Every day each Fooda location is served by different restaurants that come onsite and serve fresh lunch from unique menus. Fooda operates in over 20 major US cities and plans for continued expansion.
About the Team:
Our Data Science & Analytics team is changing the way Fooda uses data. The company has placed a huge strategic focus on building out our data science and analytics capabilities and you will be core to this growth. The team is responsible for all machine learning, business intelligence, insights generation, and advanced analytics automation for the company partnering closely with Product, Engineering, Sales, Marketing, Finance, and Operations to drive innovative analytic solutions.
Show more
Report","Chicago, IL"
115,Data Scientist,,University of Notre Dame4.4 ★,"Data Scientist

University of Notre Dame

The University of Notre Dame (ND.jobs) is accepting applications for a Data Scientist.

Applications will be accepted until 11/10/2023.

We're looking for a talented data scientist to join us as a member of a team applying data science and machine learning solutions to business, industrial, and societal problems. The Data Scientist peforms data analyis assigments related to data manipulation, statistical applications, programming, analysis, and modeling in order to support stakeholders' projects. The role involves design, implementation, testing, and rollout of various data management and analytics tools. The Data Scientist will plan and manage analytics projects in collaboration with a wide range of businesses in manufacturing, healthcare, engineering etc., assisting faculty and regional businesses with analytics needs: creating algorithms and predictive models to extract appropriate data, and analyzing that data to share insights. The successful candidate will be proficient in areas such as statistical analysis, machine learning, data science, operations research, and programming. The Data Scientist will be able to work across diverse teams within the university and with regional businesses.

This is a limited term 5 year position.
There is a preferred candidate for this position.


Masters degree or Bachelors degree (5 years) or advanced certification beyond Bachelors


Higher degree work in Data Science, Statistics, Mathematics, Economics, Analytics, Computer Science/Engineering, Industrial Engineering, or a related disciplinary concentration is strongly preferred. A Masters or PhD degree from an accredited institution of higher education is strongly preferred.


The University of Notre Dame, founded in 1842 by Rev. Edward F. Sorin, C.S.C., of the Congregation of Holy Cross, is an independent, national Catholic university located in Notre Dame, Ind. For the fifth consecutive year, the University of Notre Dame has received Honor Roll distinctions as one of the top 10 higher education workplaces in the country in the Chronicle of Higher Education's annual ""Great Colleges to Work For"" survey...and we are proud of it!

This appointment is contingent upon the successful completion of a background check. Applicants will be asked to identify all felony convictions and/or pending felony charges. Felony convictions do not automatically bar an individual from employment. Each case will be examined separately to determine the appropriateness of employment in the particular position. Failure to be forthcoming or dishonesty with respect to felony disclosures can result in the disqualification of a candidate. The full procedure can be viewed at https://facultyhandbook.nd.edu/?id=link-73597.

The University of Notre Dame seeks to attract, develop, and retain the highest quality faculty, staff and administration. The University is an Equal Opportunity Employer, and is committed to building a culturally diverse workplace. We strongly encourage applications from female and minority candidates and those candidates attracted to a university with a Catholic identity. Moreover, Notre Dame prohibits discrimination against veterans or disabled qualified individuals, and requires affirmative action by covered contractors to employ and advance veterans and qualified individuals with disabilities in compliance with 41 CFR 60-741.5(a) and 41 CFR 60-300.5(a).


Please apply online at http://ND.jobs to Job # S24397. For additional information about working at the University of Notre Dame and various benefits available to employees, please visit http://hr.nd.edu/why-nd. The University of Notre Dame supports the needs of dual career couples and has a Dual Career Assistance Program in place to assist relocating spouses and significant others with their job search.




jeid-b40c92076d48fb4984369e7fc400dc3e
Show more
Report",United States
116,Data Scientist,"$86,304",ARCTOS Technology Solutions4.3 ★,"arctos-us.com/careers/

OVERVIEW
Reach New Heights!
ARCTOS is a fast-growing, technology-oriented small business providing aerospace, defense, and digital solutions, with offices and work sites across the United States. We’re looking for team-oriented innovators eager to tackle interesting challenges, work on important problems, and receive great benefits and employee support.
REQUIREMENT
ARCTOS is seeking a digital content engineer to join our team supporting AFRL's High Speed Systems Division (AFRL/RQH). The principal thrust of this position will be to collect, organize, catalog, and store program and technical data for AFRL/RQH on numerous programs. This will involve working closely with AFRL/RQH scientists and engineers, as well as outside contractors. A key emphasis will be on assisting the division with the transition to digital engineering practices.

Show more
Report","Beavercreek, OH"
117,Data Scientist,,Ivy Tech Solutions inc3.6 ★,"HI,
Kindly let me know if you have a suitable fit for the following position
Thanks

REMOTE
Data Scientist
6MONTHS Contract to hire

Please send the resume to charan@ivytechsol.us or 847- 350-1008
Only W2 or 1099

We are looking for an entry-level Data Scientist for our Practice who will work with clients for problem definition, data exploration and solution identification and design for critical business problems of our customers. The ideal candidate must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must be comfortable working with a wide range of customers from various industries.







Show more
Report",Remote
118,PDC JUNIOR DATA SCIENTIST – ID# 223758,"$6,667",Research Corporation of the University of Hawaii3.9 ★,"PDC JUNIOR DATA SCIENTIST – ID# 223758.
CLOSING DATE: November 23, 2023, or until filled. Applications received after this deadline may be considered only if the position is not filled or up to the date a selection has been approved by the RCUH (whichever comes first).
INQUIRIES: Scott Okada 808-891-0525 (Maui).
Please apply directly on the RCUH website to be considered for the position.
Regular, Full-Time, RCUH Non-Civil Service position with the Pacific Disaster Center (PDC), located in the Technology Park in Kihei, Maui, Hawai‘i. Telework (from employee’s residence city and state) may be permissible subject to review and approval by Principal Investigator and RCUH. Continuation of employment is dependent upon program/operational needs, satisfactory work performance, availability of funds, and compliance with applicable Federal/State laws.
Show more
Report","Kihei, HI"
119,Data Scientist,"$70,000",Cognowiz solutions LLC,"· Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.).
· Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.
· Basic Knowledge on software development principles and architecture.
· Good analytical and problem-solving abilities.
· Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods.
· Familiarity with programming for data analysis; ideally Python, SQL, or R.
· Solid oral and written communication skills, especially around analytical concepts and methods.
· Great work ethic and intellectual curiosity.
· Knowledge of Cloud technologies such as AWS or Google Cloud.
· Knowledge of any relational database such as My SQL.
· Must be a team player with excellent communication and problem-solving skills and have experience working with customers across teams.'
'
Work Location:
Show more
Report","Herndon, VA"
120,Data Scientist,$43.11,Sira Consulting Inc3.6 ★,"Roles & Responsibilities:
As a Data Scientist, you will be responsible for maximizing the benefit of investments in data acquisition and management by planning, designing, coordinating and implementing data-driven solutions to deliver key business insights that drive value within our organization. An avid interest and passion in working with data and finding insights from data is key to success in this position.
Collaborate with decision-makers, system owners, and business owners to define business requirements, translate the business requirements to technical requirements, evaluate feasibility of technical solution and analyze data to develop data-driven solutions.
Analyze large volumes of data in support of solving problems encountered in the field, business problems, and proposed projects; develop solution strategies, prepare consolidated datasets for modeling, develop and deploy models, and prepare BI reports of findings and recommended actions.
Show more
Report","Houston, TX"
121,(PMSS) Data Scientist I,"$100,645","The Kenjya-Trusant Group, LLC3.7 ★","Clearance Required: Secret Clearance

Job Description:
The Kenjya-Trusant Group, LLC is seeking a candidate to fill the role of Data Scientist in support of Department of State (DOS)/Diplomatic Security contract. This contract provides support to DOS with Business Process Improvement, Organizational Change Management, Policy Support, Program and Communication Management, and Special Projects.
Duties, Tasks and Responsibilities:

Show more
Report","Washington, DC"
122,Data Scientist,"$99,470",Fortegra3.8 ★,"We are looking for a passionate Data Scientist to join our rapidly growing organization. Fortegra is a market leader in unique and non-traditional insurance, and leverages data science and technology to innovate and grow in this market. As a Data Scientist you will build ML models to deliver value to internal and external stakeholders. You will directly support business growth by analyzing new programs, revamping existing programs, and automating manual processes. You will be part of the team developing critical insight for the company and supporting every function of the organization. You will be part of a high performing team working on mission critical projects with visibility across the organization.
This position will be located in either Jacksonville, FL, Washington D.C. or remote.
Responsibilities

Show more
Report","Jacksonville, FL"
123,Data Scientist,$67.50,FocusKPI Inc.3.2 ★,"FocusKPI is seeking Data Scientists to enable deep media insights through advanced analytics for our client, one of the largest retailers/e-commerce companies in the U.S.
Work Location: Remote in the U.S.
Duration: 6 months contract with potential for extension and conversion, depending on budget and performance
Pay range: $50/hour to $70/hour
Responsibilities:
Perform hands-on coding to retrieve and analyze large datasets using Python and SQL
Integrate disparate data sources and leverage state-of-the-art analytics best practices to deliver integrated actionable insights to partners and stakeholders


Show more
Report","San Bruno, CA"
124,Data Scientist,,Human Touch Llc3.4 ★,"HumanTouch is seeking a Data Scientist within a large government agency.
Responsibilities:
Implement models to surface insights from project, program and TBM data
Design interactive dashboards and visualizations using BI tools
Automate data collection and implement quality control processes
Analyze data and communicate trends, drivers and recommendations
Continuously improve and expand analytics capabilities
Educate others on using data to inform technology investments
Preferred Qualifications:
Show more
Report",United States
125,Data Scientist,"$111,831",CAPITAL Services4.1 ★,"Job Title: Data Scientist
*
Summary*: CAPITAL Services provides end to end servicing for financial institutions nationwide. We are growing and looking for a Data Scientist to join the Analytics and Risk team. We use data to optimize cardholder interactions at every touch point. The Data Scientist will have opportunities to grow their analytic skill set while providing real value for the company and our customers. This position is located in our Sioux Falls, SD location.
*
You’ll be a good fit if you are:*
Naturally inquisitive



Show more
Report","Sioux Falls, SD"
126,Data Scientist - Machine Learning/AI,$62.50,Kaizen Analytix2.8 ★,"Data Scientist – Contractor
Kaizen Analytix LLC is an analytics services company seeking a qualified Data Science Contractor. Responsibilities and job requirements are below. This role requires an estimated 40 hours/week commitment for 3 months.

Responsibilities:
Image and sound extraction, identification, and vectorization
Pattern recognition, pattern matching
Dimensionality reduction
Show more
Report",Remote
127,Data Scientist,"$91,807",Lukos4.8 ★,"Data Scientist
Minimum Qualifications Summary


Certification & Education
Civilian Education: BA/BS Preferred Disciplines: Applied Statistics, Operations Research, Systems Analysis, Computer Science, Industrial Engineering, Systems Engineering, or another related field.
Active TS clearance. Eligible for SCI.



Show more
Report","Macdill AFB, FL"
128,Data Scientist,"$129,947",Grid,"About us
Grid is a venture-backed technology startup democratizing financial services for hard-working Americans. We're starting by giving back the money you overpay in taxes today, not next year. Use that extra cash to save for a home upgrade, make the holidays a little brighter, or just give yourself a treat. Grid has already helped thousands of people get a little closer to their dreams. And we're just getting started.

The role
We are looking for a highly-motivated and curious Data Scientist to help solve critical business problems at Grid. In this role, you will use analytical, statistical, and programming skills to collect and interpret large datasets and develop and deploy data-driven business solutions. Specifically, you will be responsible for identifying and preventing fraudulent behavior across our suite of FinTech products, and working closely with Product, Engineering, and Risk to build and implement fraud prevention strategies.

Show more
Report","San Francisco, CA"
129,Data Scientist,"$93,870",Infinia ML4.5 ★,"The Company

Infinia ML, based in the Raleigh-Durham area, is an AI company specializing in intelligent document processing. Our primary focus is automating workflows that traditionally required human-level understanding of written content. We are developing a versatile and standardized platform for processing written content in documents, such as medical records, invoices, insurance claims, emails, and more. Infinia ML has recently been acquired by Aspirion, a leading provider of complex claims management services. Aspirion helps hospitals and healthcare systems get paid appropriately and promptly for their most challenging accounts. Our shared mission is to accelerate healthcare revenue cycles through cutting-edge AI and machine learning technology.








Show more
Report","Durham, NC"
130,Data Scientist,"$122,920",NutaNXT Technologies4.7 ★,"Job Description
As a Data Scientist, you will help healthcare run efficiently through AI models that improve the distribution and manufacturing of healthcare products. You will understand key problems faced by business partners across the business, and ask good questions. You will brainstorm possible statistical solutions with help from Senior Data Scientists. You will own AI experiments, failing fast and pivot to the right solution. Finally, you will operationalize models with help from Senior Machine Learning Engineers.
Responsibilities
Extract data from multiple data sources like Microsoft SQL Server, Oracle, Azure Blob, and Azure SQL using SQL or Python
Show more
Report","Santa Clara, CA"
131,Data Scientist,"$84,720",International Services Management,"Candidate should have a BS degree with 5+ years of experience, a MS with 2+ years of experience or a PhD in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields.

Please contact Johan van Wyk at johan@ismnow.com or submit your resume online.
Show more
Report","Pittsburgh, PA"
132,Data Scientist I,"$92,702","Laredo Petroleum, Inc. v23.6 ★","Description
Our E&P Approach
In every aspect of our operations, we strive to optimize capital efficiency, so we can develop more assets, provide more jobs and bring more energy to the world to positively impact more lives. We continually refine our portfolio of holdings, acquiring acreage with high oil cuts and divesting lower-margin assets. We seek to create efficiencies in our approaches to drilling, completions, crews, materials, transport, and all other facets of our business. In the end, Vital Energy produces something beyond oil and gas. We create value for our stakeholders, and for every human empowered by the energy we help to bring forth.
High productivity, every acre
Vital Energy acquires and develops oil and gas resources in the largest and most productive hydrocarbon region in the world, the Permian Basin. We focus on this thriving area because it best meets our goal to make energy plentiful and accessible to humanity, responsibly, over the long term. While our current holdings are fully within the Permian, our acquisition and development strategy considers all high-margin assets that can help sustain our business and fuel our purpose.

Show more
Report","Tulsa, OK"
133,Junior Data Scientist,"$79,218",Camgian4.8 ★,"Camgian is hiring a Junior Data Scientist to apply statistical theory and methods to collect, interpret, and summarize data as well as make predictions and recommended actions based on data. As a Junior Data Scientist, you will work with product managers and business stakeholders to gather and analyze large sets of structured and unstructured data in order to gain insights and drive decision making.

Duties/Responsibilities
Participates in data discover to detect patterns and outliers in customer data
Builds predictive models and machine-learning algorithms
Proposes solutions and strategies to business challenges





Show more
Report","Starkville, MS"
134,Data Scientist,,TransVoyant3.0 ★,"TransVoyant is seeking a Data Scientist to drive live and predictive data analytics and development for our patented Continuous Decision Intelligence™ Platform. The ideal candidate will structure data and create the analytics needed to provide insights into our customer domains–ranging from predicting customer demand to forecasting port disruptions to getting in front of risks to national security. This position will do data discovery, interpret, craft models and build streams for Insights in TransVoyant CDI™.

RESPONSIBILITIES
Become an expert on TransVoyant CDI™ Platform solutions and how they solve pressing customer challenges within Supply Chain and National Security arenas



Show more
Report",Remote
135,Data Scientist(Marketing),$62.50,ASA4.6 ★,"Translate data insights into actions and recommendations that will drive brand sentiment, user growth and engagement, and media effectiveness
Partner with marketing, research, and product organizations to scope, design, execute, measure, and improve the impact of our marketing efforts on the world and on our business
Influence media strategy by developing a deep audience understanding by integrating consumer perception, sentiment and digital behavioral data
Responsible for data mining, data science, statistical analysis including linear regression analysis, decision analysis, statistical modeling, and advanced data analysis to support media optimization
Produce data visualization such as charts, infographic, and dashboards to communicate findings and actionable recommendations to internal stakeholders clearly and effectively
Analyze and maintain media metrics to identify cause-effect relationships between media data and pipeline
Show more
Report",Remote
136,MACA Data Scientist,"$119,209",Intuitive4.3 ★,"Company Description

At Intuitive, we are united behind our mission: we believe that minimally invasive care is life-enhancing care. Through ingenuity and intelligent technology, we expand the potential of physicians to heal without constraints.

As a pioneer and market leader in robotic-assisted surgery, we strive to foster an inclusive and diverse team, committed to making a difference. For more than 25 years, we have worked with hospitals and care teams around the world to help solve some of healthcare's hardest challenges and advance what is possible.

Intuitive has been built by the efforts of great people from diverse backgrounds. We believe great ideas can come from anywhere. We strive to foster an inclusive culture built around diversity of thought and mutual respect. We lead with inclusion and empower our team members to do their best work as their most authentic selves.

Passionate people who want to make a difference drive our culture. Our team members are grounded in integrity, have a strong capacity to learn, the energy to get things done, and bring diverse, real world experiences to help us think in new ways. We actively invest in our team members to support their long-term growth so they can continue to advance our mission and achieve their highest potential.

Join a team committed to taking big leaps forward for a global community of healthcare professionals and their patients. Together, let's advance the world of minimally invasive care.






Show more
Report","Peachtree Corners, GA"
137,Data Scientist,"$160,250",Fabrx Space,"Job Description
We are an awesome and experienced team, a fast-growing Space Startup involving senior executives and leaders from well-known commercial and government organizations. We have an incredible pool of partnerships, leaders, and talent from well-known commercial companies and governments in the Space ecosystem. We promote all facets of diversity.
Experience in previous startups is a strong plus.
Experience from the Space industry is not required.
Summary
The Principal Data Scientist will harness AWS3 data to advance our machine learning goals. This role is central to crafting and deploying models that process AWS3 data, ensuring our solutions are innovative and scalable. A significant part of the role involves refining Amazon machine learning models, like Amazon Rekognition, to meet our distinct needs. Working closely with our AI and development teams, this engineer will combine technical depth with a vision for making a meaningful societal impact through our data-driven solutions.
Show more
Report",Remote
138,Data Scientist,,CEDENT5.0 ★,"This position is working for Aquent Studios: at one of its largest clients, John Deere, at its site in Urbandale, IA. While remote candidates may be considered, the client prefers the worker to be onsite at its facility.


JOB DETAILS:
As a Data Scientist:, you will join a team leveraging petabyte-scale datasets for advanced analytics and model building to enable intelligent, automated equipment and improved decisions.
Our team partners with product managers and data engineers to design, scale, and deliver full stack data science solutions. Join a passionate team making a difference by applying innovative technology to solve some of the world's biggest problems.
Show more
Report",United States
139,Data Scientist,,Object Technology Solutions Inc4.4 ★,"Object Technology Solutions, Inc (OTSI) has an immediate opening for a Data Scientist
Duration –Contract
Primary Responsibilities:
Design, Develop and Deploy advanced machine learning and Artificial Intelligence algorithms/predictive models for use in Underwriting, Customer Management, Marketing, Portfolio Management and Operations.
Assess, clean, merge, and analyze large datasets adhering to standardized data manipulation techniques and methodology by leveraging R, SAS, Python and/or Apache Spark.
Perform parallel processing computations both within R as well as cluster computing technologies such as Apache Spark.
Show more
Report","Coppell, TX"
